list_name,name,label::English,label::Somali,district,country,region
uuid,NA-3802-D21-002,Hamiinoy,Hamiinoy,tayeeglow,somalia,bakool
uuid,NA-3802-D21-003,Qarsooy,Qarsooy,tayeeglow,somalia,bakool
uuid,NA-3802-D21-004,Bururka,Bururka,tayeeglow,somalia,bakool
uuid,NA-3802-D22-001,Lowi Gayloy,Lowi Gayloy,tayeeglow,somalia,bakool
uuid,NA-3802-D22-002,Hugey,Hugey,tayeeglow,somalia,bakool
uuid,NA-3802-D22-003,Mood Mareri,Mood Mareri,tayeeglow,somalia,bakool
uuid,NA-3802-D23-001,Elkiya,Elkiya,tayeeglow,somalia,bakool
uuid,NA-3802-D23-002,Gowki,Gowki,tayeeglow,somalia,bakool
uuid,NA-3802-D23-003,Buulo Jadiid 4,Buulo Jadiid 4,tayeeglow,somalia,bakool
uuid,NA-3802-D23-004,Hubudhi,Hubudhi,tayeeglow,somalia,bakool
uuid,NA-3802-D23-005,Herarow,Herarow,tayeeglow,somalia,bakool
uuid,NA-3802-D23-006,Gareradi,Gareradi,tayeeglow,somalia,bakool
uuid,NA-3802-D23-007,Sedax Haawo,Sedax Haawo,tayeeglow,somalia,bakool
uuid,NA-3802-E01-001,El Alul,El Alul,waajid,somalia,bakool
uuid,NA-3802-E01-002,El Dontole,El Dontole,waajid,somalia,bakool
uuid,NA-3802-E05-001,Laandhi,Laandhi,waajid,somalia,bakool
uuid,NA-3802-E22-001,Aboorow,Aboorow,tayeeglow,somalia,bakool
uuid,NA-3802-E23-001,Ubudi,Ubudi,tayeeglow,somalia,bakool
uuid,NA-3802-E23-002,Buulo Ajusi,Buulo Ajusi,tayeeglow,somalia,bakool
uuid,NA-3802-E23-003,Shiidka,Shiidka,tayeeglow,somalia,bakool
uuid,NA-3802-E23-004,Ruqa,Ruqa,tayeeglow,somalia,bakool
uuid,NA-3802-E23-005,Buulo Dhowdhow,Buulo Dhowdhow,tayeeglow,somalia,bakool
uuid,NA-3802-E23-006,Dheemo,Dheemo,tayeeglow,somalia,bakool
uuid,NA-3802-E31-001,Noi,Noi,bulo_burto,somalia,hiraan
uuid,NA-3802-F22-001,Waki 1,Waki 1,tayeeglow,somalia,bakool
uuid,NA-3802-F23-001,Doonkus,Doonkus,tayeeglow,somalia,bakool
uuid,NA-3802-F23-002,Edaayin,Edaayin,tayeeglow,somalia,bakool
uuid,NA-3802-F23-003,Waki 2,Waki 2,tayeeglow,somalia,bakool
uuid,NA-3802-F24-001,Libaanow,Libaanow,tayeeglow,somalia,bakool
uuid,NA-3802-F24-002,Abaqlow,Abaqlow,tayeeglow,somalia,bakool
uuid,NA-3802-F24-003,Lafale,Lafale,tayeeglow,somalia,bakool
uuid,NA-3802-F24-004,Aw-Qoonle,Aw-Qoonle,tayeeglow,somalia,bakool
uuid,NA-3802-F25-001,Biilaley,Biilaley,tayeeglow,somalia,bakool
uuid,NA-3802-F26-001,Garas-Ca Damo,Garas-Ca Damo,tayeeglow,somalia,bakool
uuid,NA-3802-G01-001,Caracase,Caracase,waajid,somalia,bakool
uuid,NA-3802-G05-001,Banmeegag,Banmeegag,baidoa,somalia,bay
uuid,NA-3802-G05-002,Iilile,Iilile,baidoa,somalia,bay
uuid,NA-3802-G06-001,Madax Maroodi,Madax Maroodi,baidoa,somalia,bay
uuid,NA-3802-G06-002,Alla Gabe,Alla Gabe,baidoa,somalia,bay
uuid,NA-3802-G06-003,Jeelow,Jeelow,baidoa,somalia,bay
uuid,NA-3802-G07-001,Doboolow,Doboolow,baidoa,somalia,bay
uuid,NA-3802-G07-002,Loojar,Loojar,baidoa,somalia,bay
uuid,NA-3802-G07-003,Doora-Weri,Doora-Weri,baidoa,somalia,bay
uuid,NA-3802-G24-001,Harar Gaafow,Harar Gaafow,tayeeglow,somalia,bakool
uuid,NA-3802-G26-001,Sciaule Ali Mai,Sciaule Ali Mai,tayeeglow,somalia,bakool
uuid,NA-3802-G31-001,Ar Gummo,Ar Gummo,bulo_burto,somalia,hiraan
uuid,NA-3802-H05-001,Diiga,Diiga,baidoa,somalia,bay
uuid,NA-3802-H05-002,Odomow,Odomow,baidoa,somalia,bay
uuid,NA-3802-H05-003,Madi-Sagaari,Madi-Sagaari,baidoa,somalia,bay
uuid,NA-3802-H05-004,Warka Waayi,Warka Waayi,baidoa,somalia,bay
uuid,NA-3802-H06-001,Henqeri,Henqeri,baidoa,somalia,bay
uuid,NA-3802-H06-002,Adoomow,Adoomow,baidoa,somalia,bay
uuid,NA-3802-H06-003,Gebley Boqolka,Gebley Boqolka,baidoa,somalia,bay
uuid,NA-3802-H06-004,Buri,Buri,baidoa,somalia,bay
uuid,NA-3802-H08-001,Faajar,Faajar,baidoa,somalia,bay
uuid,NA-3802-J01-001,Etiyal,Etiyal,waajid,somalia,bakool
uuid,NA-3802-J02-001,Korkor,Korkor,waajid,somalia,bakool
uuid,NA-3802-J03-001,Inasoogsatu,Inasoogsatu,baidoa,somalia,bay
uuid,NA-3802-J04-001,Deygab,Deygab,baidoa,somalia,bay
